section,dataset,value_1,value_2,value_3,value_4,value_5
Q1 Best LR per Dataset,linear_data_A,0.01,0.013355229539356,0.1009514988049892,0.1155648282971771,0.5689997481843656
Q1 Best LR per Dataset,linear_data_B,0.01,0.2136968236589605,0.4038194339360991,0.4622735377013922,0.0447955523240098
Q1 Best LR per Dataset,linear_data_C,0.1,0.0131827936316711,0.0986822995295777,0.1148163474060691,0.995351685744262
Q1 Best LR per Dataset,linear_data_D,0.1,0.0823924601979448,0.2467057488239444,0.2870408685151729,0.9716056317069088
Q2 Best LR per Dataset,logistic_data_A,0.1,0.905,0.908675799086758,0.9170506912442395,0.9128440366972476
Q2 Best LR per Dataset,logistic_data_B,0.1,0.78,0.7792792792792793,0.8160377358490566,0.7972350230414746
Q2 Best LR per Dataset,logistic_data_C,0.1,0.97625,0.9851767388825542,0.9718785151856018,0.9784824462061156
Q2 Best LR per Dataset,logistic_data_D,0.1,0.9225,0.9329545454545456,0.9266365688487584,0.9297848244620612
Q2 Best Iter per Dataset,logistic_data_A,1000.0,0.9025,0.9045454545454544,0.9170506912442395,0.9107551487414188
Q2 Best Iter per Dataset,logistic_data_B,1000.0,0.7775,0.7782805429864253,0.8113207547169812,0.7944572748267898
Q2 Best Iter per Dataset,logistic_data_C,1500.0,0.97875,0.9896907216494846,0.9718785151856018,0.9807037457434732
Q2 Best Iter per Dataset,logistic_data_D,1000.0,0.92625,0.9393592677345538,0.9266365688487584,0.9329545454545456
Q5 Regularization Summary,No Regularization,0.0,0.72,0.7125,0.75,0.7307692307692307
Q5 Regularization Summary,L2 (lambda=0.01),0.01,0.72,0.7125,0.75,0.7307692307692307
Q5 Regularization Summary,L2 (lambda=1),1.0,0.74,0.7341772151898734,0.7631578947368421,0.7483870967741936
Q5 Regularization Summary,L2 (lambda=100),100.0,0.5066666666666667,0.5066666666666667,1.0,0.672566371681416
