dataset,learning_rate,MSE,MAE,RMSE,R-squared,loss_curve_path
linear_data_A,0.1,0.013356333749635324,0.10095600779556413,0.11556960564800471,0.5689641130867413,report_assets/linear_regression/linear_data_A_loss_lr_0p1.png
linear_data_A,0.01,0.013355229539356039,0.10095149880498926,0.11556482829717717,0.5689997481843656,report_assets/linear_regression/linear_data_A_loss_lr_0p01.png
linear_data_A,0.001,0.08315645283790844,0.23691757234746919,0.2883686058465943,-1.6836268150701974,report_assets/linear_regression/linear_data_A_loss_lr_0p001.png
linear_data_B,0.1,0.21370133999416518,0.4038240311822565,0.46227842259201885,0.04477536473581445,report_assets/linear_regression/linear_data_B_loss_lr_0p1.png
linear_data_B,0.01,0.21369682365896053,0.40381943393609915,0.46227353770139223,0.04479555232400989,report_assets/linear_regression/linear_data_B_loss_lr_0p01.png
linear_data_B,0.001,0.2687018082083314,0.4403913458737695,0.5183645514580751,-0.20107148952663811,report_assets/linear_regression/linear_data_B_loss_lr_0p001.png
linear_data_C,0.1,0.013182793631671172,0.09868229952957776,0.11481634740606919,0.9953516857442621,report_assets/linear_regression/linear_data_C_loss_lr_0p1.png
linear_data_C,0.01,0.01318285194198864,0.09868109058967203,0.11481660133442655,0.9953516651837735,report_assets/linear_regression/linear_data_C_loss_lr_0p01.png
linear_data_C,0.001,0.28522489191953326,0.42734881198513813,0.53406450164707,0.8994283785179172,report_assets/linear_regression/linear_data_C_loss_lr_0p001.png
linear_data_D,0.1,0.08239246019794483,0.24670574882394442,0.28704086851517296,0.9716056317069087,report_assets/linear_regression/linear_data_D_loss_lr_0p1.png
linear_data_D,0.01,0.08239259798771861,0.24670454246976223,0.28704110853276504,0.9716055842213308,report_assets/linear_regression/linear_data_D_loss_lr_0p01.png
linear_data_D,0.001,0.35401418955181,0.4777943162702675,0.5949909155204053,0.8779984326846808,report_assets/linear_regression/linear_data_D_loss_lr_0p001.png
