feature,pearson_r
PetalWidthCompactness,0.9916701901370253
PetalWidthElongation,0.9915512971004226
PetalWidthCurvature,0.9912733572601847
PetalWidthMajorAxis,0.9911411553460054
PetalWidthSpread,0.9910953488763853
PetalWidthMinorAxis,0.9910001464845827
PetalLengthCm,0.3440446620460412
PetalLengthMajorAxis,0.3276001346300863
PetalLengthCurvature,0.3272514727231745
PetalLengthSpread,0.32652111790438654
PetalLengthCompactness,0.3263605204343211
PetalLengthElongation,0.3232144049453372
PetalLengthMinorAxis,0.3227901940116764
SepalEdgeSmoothness,0.12619789614898047
AvgDust,0.09663255437747363
BloomRigidityIndex,0.0657439948074621
FloralSpreadScore,0.05168144201643694
StigmaProminenceIndex,0.04932078011031529
SepalLengthCurvature,0.0421645762087758
SepalLengthSpread,0.03917520730252422
SepalLengthCm,0.03910429368631259
LeafShadowIndex,0.03772072207535323
SepalLengthMajorAxis,0.03485473896111457
SepalLengthMinorAxis,0.033120231908564696
SoilMoistureSignal,0.03310173961572132
BranchLength,0.030603263368306988
UVExposureIndex,0.028303121957125414
SepalLengthElongation,0.025920242106038754
IrisVenationDensity,0.025627991700174272
FloralCompactnessScore,0.023510792651405165
SepalLengthCompactness,0.021656169497607274
ThermalResponseIndex,0.02070262660460806
StemFlexibilityIndex,0.016104456484690728
FloralSlendernessScore,0.014315986512877488
PetalTextureIndex,0.010716875673540656
AntherVisibilityIndex,0.010253158560456374
BloomMaturityIndex,0.01020444819146732
WindStressIndex,0.009631501755795214
PetalEdgeSmoothness,0.00667884101070084
PetalThicknessIndex,-0.003333653474008475
FloralSymmetryScore,-0.0036217543129928443
LeafHueVariation,-0.0037881310278539897
IrisPigmentGranularity,-0.004083641084283066
IrisVenationDepth,-0.004273947779014114
CanopyLightCapture,-0.006470539146418235
IrisVenationAsymmetry,-0.006903584127628771
IrisPigmentUniformity,-0.007373555697156163
BloomHydrationIndex,-0.011067208363683006
CanopyMoistureSignal,-0.011081100058764823
IrisPigmentContrast,-0.01536819357618712
StemStabilityIndex,-0.022563921891715327
IrisPigmentDensity,-0.023417834828594258
GrowthVigorIndex,-0.02466150066925312
AmbientHumiditySignal,-0.028601983733826643
NectarExposureIndex,-0.03089334869892063
SepalTextureIndex,-0.04112450491643044
IrisVenationSharpness,-0.042795565697356645
BloomFreshnessIndex,-0.042931202257143454
PetalGlossIndex,-0.044802433448931187
PollenResidueIndex,-0.051815973616065845
SepalThicknessIndex,-0.05343902262125486
SepalWidthSpread,-0.06153866910889318
SepalWidthCm,-0.0653330019328793
SepalWidthElongation,-0.06921033877256239
SepalWidthMinorAxis,-0.07439241023821895
SepalWidthCurvature,-0.0813343822833099
SepalWidthCompactness,-0.08849639559163805
SepalGlossIndex,-0.09520000072196652
SepalWidthMajorAxis,-0.09635042983649374
